"Formal Req ID","Modul","Role","Formal Business Requirement","Child Stage 0 Requirement IDs","Acceptance Summary","Classification"
"FR-001","AU","Semua pengguna","Sistem menyediakan login multi-role dan logout berbasis session untuk akun aktif.","REQ-AU-001, REQ-AU-002","Kredensial valid membuka dashboard role; invalid ditolak; logout mengakhiri session.","CORE"
"FR-002","AU; USR","Guest; Admin","Sistem menyediakan recovery akun dan kontrol keamanan khusus Admin beserta penanganan tiket.","REQ-AU-003, REQ-AU-004, REQ-USR-007","Request, token, status, dan tindakan Admin tervalidasi serta ter-scope.","SUPPORTING"
"FR-003","AU","Semua login","Pengguna mengelola pengaturan akun, password, profil, dan foto miliknya.","REQ-AU-005, REQ-AU-006","Hanya akun login berubah; password/file tervalidasi.","SUPPORTING"
"FR-004","USR","Admin","Admin mengelola akun tenaga pendidik, siswa, Orang Tua, dan status aktifnya.","REQ-USR-001, REQ-USR-002, REQ-USR-003, REQ-USR-004","CRUD/aktivasi tersedia; relasi, uniqueness, dan guard dipatuhi.","CORE"
"FR-005","USR","Admin","Admin mengimpor pengguna dan menyediakan template spreadsheet.","REQ-USR-005, REQ-USR-006","Template sesuai importer; error dilaporkan.","SUPPORTING"
"FR-006","ORG","Admin; Waka","Pengelola mengelola cabang, tahun ajaran, kelas, anggota, wali kelas, serta daftar/kartu siswa.","REQ-ORG-001, REQ-ORG-002, REQ-ORG-003, REQ-ORG-004, REQ-ORG-005, REQ-ORG-007","Scope cabang/TA/kapasitas diterapkan; hasil dapat dicetak.","CORE"
"FR-007","ORG","Admin; Waka","Pengelola menautkan Orang Tua/Wali dengan Siswa beserta atribut tanggung jawab dan akses.","REQ-ORG-006","Relasi unik, valid, dan berada dalam scope.","NEED CONFIRMATION"
"FR-008","AKD","Admin; Waka; Wali Kelas; Guru; Siswa","Sistem mengelola mapel, jadwal, assignment Guru, istirahat, dan akses jadwal per role.","REQ-AKD-001, REQ-AKD-002, REQ-AKD-003, REQ-AKD-004, REQ-AKD-005, REQ-AKD-006, REQ-AKD-007, REQ-AKD-008, REQ-AKD-009","Konflik/scope diperiksa dan output jadwal konsisten.","CORE"
"FR-009","AKD","Admin","Admin menghasilkan laporan/cetak akademik dari data aktual.","REQ-AKD-010","Filter valid menghasilkan output konsisten.","SUPPORTING"
"FR-010","KON","Admin; Sekretaris; Siswa; Publik","Sistem mengelola dan menyajikan kalender, publikasi, landing page, dan halaman publik.","REQ-KON-001, REQ-KON-002, REQ-KON-003, REQ-KON-004, REQ-KON-005, REQ-KON-006","Status, periode, media, dan visibility dipatuhi.","SUPPORTING"
"FR-011","KEU","Admin; Bendahara","Pengelola membuat tagihan, SPP massal, import/export/cetak, dan carryover tunggakan.","REQ-KEU-001, REQ-KEU-002, REQ-KEU-003, REQ-KEU-004","Nominal/periode valid, duplikasi dicegah, traceability dipertahankan.","CORE"
"FR-012","KEU","Admin; Bendahara; Orang Tua; Siswa","Sistem mendukung pembayaran manual dan akses keuangan Siswa read-only.","REQ-KEU-005, REQ-KEU-006, REQ-KEU-007, REQ-KEU-012","Ownership/status/audit benar; aksi bayar Siswa ditolak.","NEED CONFIRMATION"
"FR-013","KEU","Orang Tua; Sistem; Admin; Bendahara","Sistem mendukung Midtrans dan sinkronisasi status otoritatif beserta konfigurasi kanal.","REQ-KEU-008, REQ-KEU-009, REQ-KEU-010","Snap/webhook/status/secret ditangani aman; activation production diverifikasi terpisah.","NEED CONFIRMATION"
"FR-014","KEU","Admin; Bendahara","Pengelola memfilter, merekap, dan mencetak laporan keuangan.","REQ-KEU-011","Filter dan agregat transaksi disetujui konsisten.","SUPPORTING"
