Reconciliation ID,DOC-REQ ID,Stage 0 REQ ID,Modul,Role Laporan,Role Implementasi,Requirement Laporan,Requirement As-Built,Status,Penjelasan Perbedaan,Report Evidence,Source Evidence,Recommendation
"REC-001","DOC-REQ-002","REQ-AU-001","Autentikasi & Akun","Admin, Guru, Wali Kelas, Siswa","Guest","Sistem harus menyediakan satu login multi-peran, mengarahkan pengguna ke dashboard perannya, dan memungkinkan logout.","Sistem harus memungkinkan pengguna aktif login dengan username atau email dan password.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-002 (hlm. 20; 52; 93)","`LoginRequest.php`; `LoginController.php`","Pertahankan sebagai kandidat baseline final."
"REC-002","DOC-REQ-002","REQ-AU-002","Autentikasi & Akun","Admin, Guru, Wali Kelas, Siswa","Semua login","Sistem harus menyediakan satu login multi-peran, mengarahkan pengguna ke dashboard perannya, dan memungkinkan logout.","Sistem harus memungkinkan pengguna logout dengan membatalkan session.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-002 (hlm. 20; 52; 93)","`LoginController@destroy`","Pertahankan sebagai kandidat baseline final."
"REC-003","DOC-REQ-036","REQ-AU-003","Autentikasi & Akun","Guest, Admin","Guest","Sistem harus menyediakan pemulihan akun dan pengelolaan tiket recovery.","Sistem harus menyediakan pemulihan username/password publik melalui data akun dan email pribadi.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-036 (hlm. 61; 102; 174)","`UserRecoveryController`; `EmailRecoveryService`","Pertahankan sebagai kandidat baseline final."
"REC-004","—","REQ-AU-004","Autentikasi & Akun","—","ADM","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus mewajibkan dan menyediakan pengaturan keamanan khusus Admin serta recovery berbasis kontrol tersebut.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","Auth recovery controllers; middleware security setup","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-005","—","REQ-AU-005","Autentikasi & Akun","—","Semua login","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus memungkinkan pengguna memperbarui pengaturan akun dan password sendiri.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","`AccountController.php`","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-006","—","REQ-AU-006","Autentikasi & Akun","—","Semua login","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus memungkinkan pengguna mengelola profil dan foto sendiri.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","`ProfileController.php`","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-007","DOC-REQ-003","REQ-USR-001","Manajemen Pengguna","Admin","ADM","Admin harus dapat membuat dan mengelola akun/data Guru Pengajar, Wali Kelas, dan Siswa.","Sistem harus memungkinkan Admin mengelola akun dan profil tenaga pendidik.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-003 (hlm. 11; 14)","`Admin/UserController.php`","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-008","DOC-REQ-003, DOC-REQ-004","REQ-USR-002","Manajemen Pengguna","Admin","ADM","Admin harus dapat membuat dan mengelola akun/data Guru Pengajar, Wali Kelas, dan Siswa. / Admin harus dapat mengelola profil akademik siswa.","Sistem harus memungkinkan Admin mengelola akun dan profil siswa.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-003 (hlm. 11; 14); DOC-REQ-004 (hlm. 11; 16)","`UserController.php`; siswa tests","Pertahankan sebagai kandidat baseline final."
"REC-009","DOC-REQ-049","REQ-USR-003","Manajemen Pengguna","Orang Tua/Wali Siswa","ADM","Sistem harus menautkan akun Orang Tua ke satu/lebih Siswa dengan atribut tanggung jawab keuangan dan akses akademik.","Sistem harus memungkinkan Admin mengelola akun Orang Tua/Wali Siswa.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-049 (hlm. 139)","`UserController.php`","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-010","—","REQ-USR-004","Manajemen Pengguna","—","ADM","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus memungkinkan Admin mengaktifkan atau menonaktifkan akun yang diizinkan.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","`UserController.php`; `EnsureUserIsActive.php`","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
